,title,groups,keywords,topics
311,Cross-lingual Knowledge Validation Based Taxonomy Derivation from Heterogeneous Online Wikis,"AI and the Web (AIW)
Knowledge Representation and Reasoning (KRR)
NLP and Knowledge Representation (NLPKR)","Taxonomy Derivation
Knowledge Validation
Cross Lingual
Online Wikis","AIW: Knowledge acquisition from the web
AIW: Languages, tools, and methodologies for representing, managing, and visualizing semantic web data
AIW: Ontologies and the web: creation, extraction, evolution, mapping, merging, and alignment; tags and folksonomies
KRR: Knowledge Acquisition
KRR: Ontologies
NLPKR: Ontology Induction"
312,A Relevance-Based Compilation Method for Conformant Probabilistic Planning,Planning and Scheduling (PS),"Planning under uncertainty.
Conformant probabilistic planning.
Relevance based method.
compilation based approach.","PS: Probabilistic Planning
PS: Planning (General/Other)"
313,Incentivizing High-quality Content from Heterogeneous Users: On the Existence of Nash Equilibrium,"Game Theory and Economic Paradigms (GTEP)
Multiagent Systems (MAS)","User generated content
Heterogeneous users
Equilibrium analysis","GTEP: Game Theory
GTEP: Equilibrium
GTEP: Imperfect Information
MAS: Mechanism Design"
314,DJAO: A Communication-Constrained DCOP algorithm that combines features of ADOPT and Action-GDL,"Heuristic Search and Optimization (HSO)
Search and Constraint Satisfaction (SCS)","Distributed Problem Solving
DCOP
AND/OR search","HSO: Heuristic Search
HSO: Optimization
HSO: Distributed Search
MAS: Coordination and Collaboration
MAS: Distributed Problem Solving
SCS: Constraint Optimization
SCS: Distributed CSP/Optimization"
315,Oversubscription Planning: Complexity and Compilability,Planning and Scheduling (PS),"oversubscription planning
computational complexity
compilability","PS: Deterministic Planning
PS: Planning (General/Other)"
316,Monte Carlo Filtering using Kernel Embedding of Distributions,Novel Machine Learning Algorithms (NMLA),"kernel method
kernel embedding of distributions
Monte Carlo filtering
state-space model",NMLA: Kernel Methods
317,New Models for Competitive Contagion,Game Theory and Economic Paradigms (GTEP),"Competitive Contagion
Networks
Connectivity
Endogenous budgets","GTEP: Game Theory
GTEP: Equilibrium"
318,Hybrid Heterogeneous Transfer Learning through Deep Learning,Novel Machine Learning Algorithms (NMLA),"transfer learning
domain adaptation
deep learning","NMLA: Transfer, Adaptation, Multitask Learning"
319,Decentralized Multi-Agent Reinforcement Learning in Average-Reward Dynamic DCOPs,"Multiagent Systems (MAS)
Search and Constraint Satisfaction (SCS)","Distributed Constraint Optimization Problems
DCOPs
Reinforcement Learning","MAS: Coordination and Collaboration
MAS: Distributed Problem Solving
MAS: Multiagent Learning
SCS: Distributed CSP/Optimization"
320,Approximate Equilibrium and Incentivizing Social Coordination,Game Theory and Economic Paradigms (GTEP),"Approximate Nash Equilibrium
Coordination Games
Price of Stability
Price of Anarchy
Network Games","GTEP: Game Theory
GTEP: Coordination and Collaboration
GTEP: Equilibrium"
321,Qualitative Reasoning with Modelica Models,"Applications (APP)
Knowledge Representation and Reasoning (KRR)","qualitative reasoning
design
Modelica
model-based reasoning","APP: Other Applications
KRR: Knowledge Representation Languages
KRR: Qualitative Reasoning"
322,Evaluating Trauma Patients: Addressing Missing Covariates Using Joint Optimization,Machine Learning Applications (MLA),"missing values
classification
trauma","MLA: Bio/Medicine
MLA: Applications of Supervised Learning"
323,Tightening Bounds for Bayesian Network Structure Learning,Reasoning under Uncertainty (RU),"Bayesian network
structure learning
lower and upper bounds","NMLA: Graphical Model Learning
RU: Bayesian Networks"
324,Pathway Specification and Comparative Queries: A High Level Language with Petri Net Semantics,Knowledge Representation and Reasoning (KRR),"Biological pathways
Comparative queries
Question answering","APP: Biomedical / Bioinformatics
KRR: Knowledge Representation Languages"
325,Solving the Inferential Frame Problem in the General Game Description Language,"Game Playing and Interactive Entertainment (GPIE)
Knowledge Representation and Reasoning (KRR)","General game playing
Inferential frame problem
Game description language","GPIE: General Game Playing
KRR: Action, Change, and Causality"
326,Testable Implications of Linear Structural Equation Models,"Knowledge Representation and Reasoning (KRR)
Reasoning under Uncertainty (RU)","structural equation models
causality
causal models
linear
testable implications
constraints
verma constraints
overidentifying constraints
overidentifying restrictions
graphical models","KRR: Action, Change, and Causality
RU: Graphical Models (Other)"
327,Manifold Spanning Graphs,Novel Machine Learning Algorithms (NMLA),"graph construction
manifold learning
topology","NMLA: Dimension Reduction/Feature Selection
NMLA: Unsupervised Learning (Other)"
328,Learning Relative Similarity by Stochastic Dual Coordinate Ascent,"Machine Learning Applications (MLA)
Novel Machine Learning Algorithms (NMLA)","distance metric learning
similarity learning
online learning
retrieval","MLA: Applications of Supervised Learning
MLA: Machine Learning Applications (General/other)
NMLA: Online Learning
NMLA: Supervised Learning (Other)
VIS: Image and Video Retrieval
VIS: Statistical Methods and Learning"
329,locality preserving projection via multi-objective learning for domain adaptation,"Knowledge Representation and Reasoning (KRR)
Machine Learning Applications (MLA)
Novel Machine Learning Algorithms (NMLA)","locality preserving projection
multi-objective learning
domain adaptation","KRR: Knowledge Representation (General/Other)
NMLA: Transfer, Adaptation, Multitask Learning"
330,Internally Stable Kidney Exchange,Multiagent Systems (MAS),"Kidney exchange
Stable matching
Maximum weighted matching","GTEP: Auctions and Market-Based Systems
MAS: Mechanism Design"
331,Intra-view and Inter-view Supervised Correlation Analysis for Multi-view Feature Learning,Novel Machine Learning Algorithms (NMLA),"Canonical correlation analysis (CCA)
Multi-view supervised feature learning
Inter-view and intra-view supervised correlation analysis (I2SCA)
Analytical solution
Kernelized extension","NMLA: Dimension Reduction/Feature Selection
NMLA: Supervised Learning (Other)
VIS: Statistical Methods and Learning"
332,Finding Median Point-Set Using Earth Mover's Distance,"Heuristic Search and Optimization (HSO)
Machine Learning Applications (MLA)","Prototype learning
Earth mover's distance
Optimization","HSO: Heuristic Search
HSO: Optimization
HSO: Evaluation and Analysis (Search and Optimization)
MLA: Applications of Unsupervised Learning
MLA: Machine Learning Applications (General/other)
NMLA: Evaluation and Analysis (Machine Learning)
NMLA: Unsupervised Learning (Other)
NMLA: Machine Learning (General/other)"
333,Preprocessing for Propositional Model Counting,Search and Constraint Satisfaction (SCS),"model counting
preprocessing
propositional
compilation
direct model counting","SCS: SAT and CSP: Solvers and Tools
SCS: Constraint Satisfaction (General/other)"
334,Propagating Regular Counting Constraints,Search and Constraint Satisfaction (SCS),"constraints over a sequence
finite automata
counting
propagators
domain consistency","SCS: Constraint Satisfaction
SCS: Global Constraints"
335,SOML: Sparse Online Metric Learning with Application to Image Retrieval,Machine Learning Applications (MLA),"Sparse Online Learning
Distance Metric Learning
Image Retrieval",MLA: Applications of Supervised Learning
336,Strategyproof exchange with multiple private endowments,Game Theory and Economic Paradigms (GTEP),"Mechanism design
Exchange
Manipulation
Strategyproofness","GTEP: Auctions and Market-Based Systems
GTEP: Game Theory
MAS: E-Commerce
MAS: Mechanism Design"
337,Mechanism design for mobile geo-location advertising,"Game Theory and Economic Paradigms (GTEP)
Multiagent Systems (MAS)","Mechanism Design
Auctions
Computational Advertising
Mobile Advertising
Game Theory (cooperative and non–cooperative)","GTEP: Auctions and Market-Based Systems
GTEP: Game Theory
MAS: Mechanism Design"
338,A Propagator Design Framework for Constraints over Sequences,Search and Constraint Satisfaction (SCS),"Constraint Programming
Global Constraints
Stepwise Refinement
Tuple Variables","SCS: Constraint Satisfaction
SCS: Global Constraints"
339,Regression Model and Privacy Preserved Learning by Matrix Completion,"Applications (APP)
Machine Learning Applications (MLA)
Novel Machine Learning Algorithms (NMLA)","Regression analysis
Privacy
Matrix completion","APP: Biomedical / Bioinformatics
APP: Computational Social Science
APP: Security and Privacy
MLA: Bio/Medicine
MLA: Applications of Supervised Learning
MLA: Machine Learning Applications (General/other)
MAS: Mechanism Design
NMLA: Data Mining and Knowledge Discovery
NMLA: Feature Construction/Reformulation
NMLA: Machine Learning (General/other)
RU: Uncertainty in AI (General/Other)"
340,A Constructive Argumentation Framework,,"Logic-based Argumentation
Constructive Arguments
Intuitionistic Logic",KRR: Argumentation
341,Point-based POMDP solving with factored value function approximation,"Planning and Scheduling (PS)
Reasoning under Uncertainty (RU)","POMDP
Value function approximation
Point-based methods","PS: Probabilistic Planning
PS: Planning (General/Other)
RU: Sequential Decision Making
RU: Uncertainty in AI (General/Other)"
342,A Multiarmed Bandit Incentive Mechanism for Crowdsourcing Demand Response in Smart Grids,"Computational Sustainability and AI (CSAI)
Game Theory and Economic Paradigms (GTEP)
Human-Computation and Crowd Sourcing (HCC)","CSAI: Modeling the interactions of agents with different and often conflicting interests
GTEP: Auctions and Market-Based Systems
HCC: Game-theoretic mechanism design of incentives for motivation and honest reporting","CSAI: Modeling the interactions of agents with different and often conflicting interests
GTEP: Auctions and Market-Based Systems
HCC: Game-theoretic mechanism design of incentives for motivation and honest reporting"
343,Binary Aggregation by Selection of the Most Representative Voter,"Game Theory and Economic Paradigms (GTEP)
Knowledge Representation and Reasoning (KRR)
Multiagent Systems (MAS)","Computational Social Choice
Approximation
Judgment Aggregation","GTEP: Social Choice / Voting
KRR: Preferences
MAS: Multiagent Systems (General/other)"
344,Pairwise-Covariance Linear Discriminant Analysis,"Applications (APP)
Machine Learning Applications (MLA)","linear discriminant analysis
gradient
pairwise
covariance",
345,State Aggregation in Monte Carlo Tree Search,"Planning and Scheduling (PS)
Reasoning under Uncertainty (RU)","markov decision process
monte carlo tree search
state abstraction","PS: Probabilistic Planning
RU: Sequential Decision Making"
346,Saturated Path-Constrained MDP: Planning under Uncertainty and Deterministic Model-Checking Constraints,"Planning and Scheduling (PS)
Reasoning under Uncertainty (RU)","Safe and Optimal Controller Synthesis
Uncertainty and Stochasticity
Planning under Uncertainty
Model-Checking PCTL Constraints
Path-Constrained Markov Decision Processes","PS: Markov Models of Environments
PS: Probabilistic Planning
PS: Planning (General/Other)
RU: Sequential Decision Making
SCS: Constraint Satisfaction (General/other)"
347,Bounding the Support Size in Extensive Form Games with Imperfect Information,Game Theory and Economic Paradigms (GTEP),"Game theory
Nash equilibrium
Support
Extensive form games
Bayesian extensive games
Poker
Equilibrium preserving transformation","GTEP: Game Theory
GTEP: Equilibrium
GTEP: Imperfect Information"
348,Exploiting Support Sets for Answer Set Programs with External Evaluations,Knowledge Representation and Reasoning (KRR),"Answer Set Programming
External Sources
Description Logic Programs","KRR: Ontologies
KRR: Description Logics
KRR: Knowledge Representation Languages
KRR: Logic Programming
KRR: Nonmonotonic Reasoning
KRR: Knowledge Representation (General/Other)"
349,Towards Topological-transformation Robust Shape Comparison:  A Sparse Representation Based Manifold Embedding Approach,Vision (VIS),"Shape Comparison
Manifold Embedding
Sparse Representation",VIS: Object Recognition
350,Uncorrelated Multi-view Fisher Discrimination Dictionary Learning For Recognition,Vision (VIS),"Fisher discrimination Dictionary learning (FDDL)
Multi-view FDDL (MFDDL)
Uncorrelated MFDDL (UMFDDL)
Uncorrelated constraint","NMLA: Supervised Learning (Other)
VIS: Categorization
VIS: Object Recognition"
351,Semantic Data Representation for Improving Tensor Factorization,"AI and the Web (AIW)
Novel Machine Learning Algorithms (NMLA)","Collaborative Filtering
Recommender System
Tensor Factorization
Rating prediction
Bayesian probabilistic tensor factorization
Linked Open Data
Taxonomy
Semantics on the web","AIW: Exploiting Linked Open Data
AIW: Ontologies and the web: creation, extraction, evolution, mapping, merging, and alignment; tags and folksonomies
AIW: Web-based recommendation systems
NMLA: Data Mining and Knowledge Discovery
NMLA: Recommender Systems"
352,Local-To-Global Consistency Implies Tractability of Abduction,Knowledge Representation and Reasoning (KRR),"Diagnosis and Abductive Reasoning
Spatial and Temporal Reasoning
Local Consistency
Computational Complexity","KRR: Computational Complexity of Reasoning
KRR: Diagnosis and Abductive Reasoning
KRR: Geometric, Spatial, and Temporal Reasoning
KRR: Nonmonotonic Reasoning
KRR: Qualitative Reasoning"
353,Generalized Higher-Order Tensor Decomposition via Parallel ADMM,Novel Machine Learning Algorithms (NMLA),"Tensor decomposition
Higher-order orthogonal iteration
Parallel Optimization","NMLA: Dimension Reduction/Feature Selection
NMLA: Feature Construction/Reformulation
NMLA: Unsupervised Learning (Other)"
354,Abduction Framework for Repairing Incomplete  EL Ontologies:  Complexity Results and Algorithms,"AI and the Web (AIW)
Knowledge Representation and Reasoning (KRR)","ontology debugging
ontology engineering
description logics","AIW: Ontologies and the web: creation, extraction, evolution, mapping, merging, and alignment; tags and folksonomies
KRR: Ontologies
KRR: Description Logics
KRR: Diagnosis and Abductive Reasoning"
355,Mixing-time Regularized Policy Gradient,Novel Machine Learning Algorithms (NMLA),"Reinforcement learning
Policy gradient
Markov chain mixing time","CS: Problem solving and decision making
NMLA: Reinforcement Learning
RU: Sequential Decision Making"
356,Exploring the Boundaries of Decidable Verification of Non-Terminating Golog Programs,Knowledge Representation and Reasoning (KRR),"Situation Calculus
Golog
Verification","KRR: Action, Change, and Causality
KRR: Geometric, Spatial, and Temporal Reasoning"
357,Using Timed Game Automata to Synthesize Execution Strategies for Simple Temporal Networks with Uncertainty,"Planning and Scheduling (PS)
Reasoning under Uncertainty (RU)","Dynamic Controllability
Strategy Synthesis
Simple Temporal Networks with Uncertainty
Timed Game Automata","PS: Plan Execution and Monitoring
PS: Scheduling
RU: Uncertainty in AI (General/Other)"
358,Adaptation Guided Case Base Maintenance,Novel Machine Learning Algorithms (NMLA),"Adaptation-Guided Case-Based Maintenance
Case-Based Maintenance
Case-Based Reasoning",NMLA: Case-Based Reasoning
359,The Fisher Market Game: Equilibrium and Welfare,Game Theory and Economic Paradigms (GTEP),"Fisher markets
Fisher market game
Equilibrium analysis
Price of anarchy","GTEP: Auctions and Market-Based Systems
GTEP: Game Theory"
360,Huffman Coding for Storing Non-uniformly Distributed Messages in Networks of Neural Cliques,"Applications (APP)
Machine Learning Applications (MLA)
Novel Machine Learning Algorithms (NMLA)","neural clique
sparsity
associative memory
non-uniform distribution
compression code","APP: Security and Privacy
APP: Other Applications
MLA: Machine Learning Applications (General/other)
NMLA: Neural Networks/Deep Learning"
361,An Agent-Based Model Studying the Acquisition of a Language System of Logical Constructions,Cognitive Modeling (CM),"Cognitive Modeling
Symbolic AI
Simulating Humans
Adaptive Behavior","CM: Adaptive Behavior
CM: Simulating Humans
CM: Symbolic AI"
362,Tree-Based On-line Reinforcement Learning,Reasoning under Uncertainty (RU),"Reinforcement Learning
Markov Decision Processes
Fitted Q-Iteration",RU: Sequential Decision Making
363,Doubly Regularized Portfolio with Risk Minimization,"Applications (APP)
Machine Learning Applications (MLA)","Portfolion Management
Risk Minimization
Doubly Regularized Portfolio","APP: Other Applications
MLA: Machine Learning Applications (General/other)"
364,"Non-convex feature learning via $\ell_{p,\infty}$ operator","Machine Learning Applications (MLA)
Novel Machine Learning Algorithms (NMLA)","feature
sparse
learning",
365,Robust Non-negative Dictionary Learning,"Machine Learning Applications (MLA)
Novel Machine Learning Algorithms (NMLA)","dictionary learning
non-negative
clustering
multiplicative",
366,On the Axiomatic Characterization of Runoff Voting Rules,Game Theory and Economic Paradigms (GTEP),"computational social choice
runoff scoring rules
independence of clones",GTEP: Social Choice / Voting
367,Supervised Scoring with Monotone Multidimensional Splines,Computational Sustainability and AI (CSAI),"Sustainability
Green Buildings
Interpolation
Scientific Computing","CSAI: Modeling and control of complex high-dimensional systems
CSAI: Support for public engagement and decision making by the public
HCC: Optimality in the context of human computation"
368,CoreCluster: A Degeneracy Based Graph Clustering Framework,"AI and the Web (AIW)
Applications (APP)","Community detection
Graph clustering
Graph degeneracy
Graph mining","AIW: Social networking and community identification
APP: Social Networks"
369,A Generalized Genetic Algorithm-Based Solver for Very Large Jigsaw Puzzles of Complex Types,"Novel Machine Learning Algorithms (NMLA)
Vision (VIS)","genetic algorithms
jigsaw puzzle
computer vision
recombination operators","NMLA: Evolutionary Computation
VIS: Perception"
370,Solving Zero-Sum Security Games in Discretized Spatio-Temporal Domains,"Game Theory and Economic Paradigms (GTEP)
Multiagent Systems (MAS)","Security Games
Zero-Sum Games
Minimax Equilibrium
Oracle
Equilibria Computation","GTEP: Game Theory
GTEP: Equilibrium
MAS: Multiagent Systems (General/other)"
371,Q-intersection Algorithms for Constraint-Based Robust Parameter Estimation,Search and Constraint Satisfaction (SCS),"intersection graph
computational complexity
parameter estimation
soft numerical constraints
q-intersection",SCS: Constraint Satisfaction
372,Fused Feature Representation Discovery for High-dimensional and Sparse Data,"NLP and Machine Learning (NLPML)
Novel Machine Learning Algorithms (NMLA)","feature representation discovery
feature selection
dimensionality reduction
semi-supervised learning
feature grouping","NLPML: Natural Language Processing (General/Other)
NMLA: Feature Construction/Reformulation
NMLA: Semisupervised Learning"
373,Joule Counting Correction for Electric Vehicles using Artificial Neural Nets,"Applications (APP)
Machine Learning Applications (MLA)
Novel Machine Learning Algorithms (NMLA)
Reasoning under Uncertainty (RU)
Robotics (ROB)","Electric Vehicles
Battery Estimation
State of Charge
Artificial Neural Nets
Lithium Iron Phosphate (LiFePo)","APP: Other Applications
MLA: Applications of Unsupervised Learning
MLA: Machine Learning Applications (General/other)
NMLA: Active Learning
NMLA: Time-Series/Data Streams
NMLA: Unsupervised Learning (Other)
NMLA: Machine Learning (General/other)
RU: Uncertainty Representations
ROB: Human-Robot Interaction
ROB: State Estimation"
374,Managing Change in Graph-structured Data Using Description Logics,Knowledge Representation and Reasoning (KRR),"Graph structured data
Description Logics
Static analysis of transactions
Planning","KRR: Computational Complexity of Reasoning
KRR: Description Logics"
375,BCI Based Control Without Explicit Calibration,"Cognitive Modeling (CM)
Humans and AI (HAI)","Brain-Computer Interfaces
Calibration
Human-Robot Interaction","CM: Adaptive Behavior
HAI: Brain-Sensing and Analysis
HAI: Communication Protocols
HAI: Human-Computer Interaction
HAI: User Experience and Usability"
376,Towards Scalable Exploration of Diagnoses in an Ontology Stream,AI and the Web (AIW),"Semantic Web
Ontology Stream
Semantic Reasoning
Knowledge Evolution","AIW: Languages, tools, and methodologies for representing, managing, and visualizing semantic web data
AIW: Ontologies and the web: creation, extraction, evolution, mapping, merging, and alignment; tags and folksonomies"
377,Flexible and Scalable Partially Observable Planning with Linear Translations,"Knowledge Representation and Reasoning (KRR)
Planning and Scheduling (PS)
Reasoning under Uncertainty (RU)","Planning with sensing and partial information
Planning with beliefs
On-line planning
Replanning","KRR: Reasoning with Beliefs
PS: Deterministic Planning
PS: Replanning and Plan Repair
PS: Planning (General/Other)
RU: Sequential Decision Making"
378,Online Portfolio Selection with Group Sparsity,"Applications (APP)
Game Theory and Economic Paradigms (GTEP)
Machine Learning Applications (MLA)
Novel Machine Learning Algorithms (NMLA)","online learning
portfolio selection
group lasso
non-smooth convex optimization
alternating direction method of multipliers","APP: Other Applications
GTEP: Adversarial Learning
MLA: Machine Learning Applications (General/other)
NMLA: Big Data / Scalability
NMLA: Data Mining and Knowledge Discovery
NMLA: Online Learning
NMLA: Time-Series/Data Streams
NMLA: Machine Learning (General/other)"
379,Prediction of Helpful Reviews using Emotions Extraction,"Machine Learning Applications (MLA)
NLP and Machine Learning (NLPML)","helpfulness prediction
product review analysis
emotions extraction","MLA: Applications of Supervised Learning
NLPML: Evaluation and Analysis"
380,An Adversarial Interpretation of Information-Theoretic Bounded Rationality,"Game Theory and Economic Paradigms (GTEP)
Planning and Scheduling (PS)
Reasoning under Uncertainty (RU)","bounded rationality
free energy
game theory
legendre transform","PS: Probabilistic Planning
PS: Planning (General/Other)
RU: Decision/Utility Theory"
381,Learning to Recognize Novel Objects in One Shot through Human-Robot Interactions in Natural Language Dialogues,"Cognitive Systems (CS)
Robotics (ROB)
Vision (VIS)","one-shot learning
object recognition
natural language dialogues","CS: Natural language understanding and dialogue
ROB: Human-Robot Interaction
VIS: Language and Vision
VIS: Object Recognition"
382,Coactive Learning for Locally Optimal Problem Solving,"Humans and AI (HAI)
Knowledge Representation and Reasoning (KRR)","Coactive Learning
Local Optimization
Preference Learning","HCC: Active learning from imperfect human labelers
HAI: Interaction Techniques and Devices
KRR: Preferences
NMLA: Preferences/Ranking Learning"
383,Large Scale Analogical Reasoning,"Cognitive Systems (CS)
Knowledge Representation and Reasoning (KRR)","analogical reasoning
case-based reasoning
question answering
knowledge base systems","CS: Conceptual inference and reasoning
CS: Structural learning and knowledge capture
KRR: Qualitative Reasoning"
384,Learning Models of Unknown Events,Cognitive Systems (CS),"learning environment models
explanation generation
execution monitoring
goal-driven autonomy","CM: Symbolic AI
CS: Problem solving and decision making
CS: Introspection and meta-cognition
CS: Structural learning and knowledge capture
PS: Learning Models for Planning and Diagnosis
PS: Plan Execution and Monitoring"
385,Learning Concept Embeddings for Query Expansion by Quantum Entropy Minimization,"NLP and Knowledge Representation (NLPKR)
NLP and Machine Learning (NLPML)","Embedding
Density Matrix
Query Expansion","NLPKR: Natural Language Processing (General/Other)
NLPML: Natural Language Processing (General/Other)
NMLA: Neural Networks/Deep Learning"
386,Non-Restarting SAT Solvers With Simple Preprocessing Efficiently Simulate Resolution,Search and Constraint Satisfaction (SCS),"clause learning
satisfiability
proof complexity
p-simulation
1-UIP clauses
asserting clauses
resolution","SCS: Constraint Satisfaction
SCS: Constraint Learning and Acquisition
SCS: SAT and CSP: Evaluation and Analysis
SCS: Satisfiability (General/Other)"
387,Worst-Case Solution Quality Analysis When Not Re-Expanding Nodes in Best-First Search,Heuristic Search and Optimization (HSO),"best-first search
re-expansions
heuristics
inconsistency
inadmissibility
solution quality
suboptimality
suboptimal heuristic search
worst-case analysis","HSO: Heuristic Search
HSO: Evaluation and Analysis (Search and Optimization)"
388,Natural Temporal Difference Learning,Novel Machine Learning Algorithms (NMLA),"natural gradient
temporal difference learning
reinforcement learning",
389,Relaxation Search: a Simple Way of Managing Optional Clauses,Search and Constraint Satisfaction (SCS),"Constraint Optimization
Satisfiability
Maximum Satisfiability
Minimal Correction Sets","SCS: Constraint Optimization
SCS: SAT and CSP: Solvers and Tools
SCS: Satisfiability (General/Other)"
390,Using Response Functions to Measure Strategy Strength,Game Theory and Economic Paradigms (GTEP),"strategy evaluation
extensive-form games
adaptive opponents","GTEP: Game Theory
GTEP: Equilibrium
GTEP: Imperfect Information"
391,Optimal and Efficient Stochastic Motion Planning in Partially-Known Environments,"Reasoning under Uncertainty (RU)
Robotics (ROB)","Planning under uncertainty
Motion planning with action and environment uncertainty
Optimal stochastic motion planning
Computing policies under uncertainty","PS: Mixed Discrete/Continuous Planning
RU: Uncertainty in AI (General/Other)
ROB: Motion and Path Planning
ROB: Robotics (General/Other)"
392,Learning Scripts as Hidden Markov Models,"NLP and Machine Learning (NLPML)
Novel Machine Learning Algorithms (NMLA)","HMM
Scripts
NLP
Structural EM
Structure Learning","NLPML: Natural Language Processing (General/Other)
NMLA: Graphical Model Learning"
393,Mapping Users Across Networks by Manifold Alignment on Hypergraph,AI and the Web (AIW),"Social Networks
Manifold Alignment
Hypergraph
De-anonymization
User Mapping","AIW: Machine learning and the web
AIW: Ontologies and the web: creation, extraction, evolution, mapping, merging, and alignment; tags and folksonomies
AIW: Social networking and community identification"
394,Compact Aspect Embedding For Diversified Query Expansion,AI and the Web (AIW),"query expansion
search result diversification
Trace Norm Regularization",AIW: Enhancing web search and information retrieval
395,Contraction and Revision over DL-Lite TBoxes,Knowledge Representation and Reasoning (KRR),"Belief Change
Description Logic
Non-monotonic reasoning","KRR: Belief Change
KRR: Description Logics
KRR: Nonmonotonic Reasoning"
396,Zero Pronoun Resolution as Ranking,NLP and Text Mining (NLPTM),"Zero Pronouns
Text Mining
Natural Language Processing",NLPTM: Evaluation and Analysis
397,Supervised Transfer Sparse Coding,Novel Machine Learning Algorithms (NMLA),"Sparse coding
Transfer learning
Supervised learning
Classification
Support Vector Machine","NMLA: Classification
NMLA: Transfer, Adaptation, Multitask Learning
NMLA: Supervised Learning (Other)"
